stem	word_m	lang_GT_API	stopword
insan	insane	en	False
fenc	fence	en	False
shove	shove	en	False
invit	invitation	en	False
bop	bop	en	False
shift	shift	en	False
runnin	runnin'	en	False
culpa	culpa	es	False
mutta	mutta	fi	True
screamin	screamin'	en	False
bow	bow	en	False
dêtre	d'être	fr	False
trial	trial	en	False
patienc	patience	en	False
bom	bom	pt	False
bon	bon	fr	False
boo	boo	en	False
dusti	dusty	en	False
colleg	college	en	False
bob	bob	en	False
deg	deg	no	True
guilti	guilty	en	False
pillow	pillow	en	False
ourselv	ourselves	en	True
love	love	en	False
savoir	savoir	fr	False
extra	extra	en	False
ilusión	ilusión	es	False
rattl	rattle	en	False
prefer	prefer	en	False
gesicht	gesicht	de	False
pasión	pasión	es	False
tête	tête	fr	False
fake	fake	en	False
fool	fool	en	False
tuesday	tuesday	en	False
peep	peep	en	False
market	market	en	False
bloodi	bloody	en	False
ando	ando	pt	False
wealth	wealth	en	False
memori	memories	en	False
sake	sake	en	False
saddl	saddle	en	False
univers	universe	en	False
visit	visit	en	False
impos	imposible	es	False
everybodi	everybody	en	False
live	live	en	False
vivir	vivir	es	False
prey	prey	en	False
everywher	everywhere	en	False
ahhh	ahhh	en	False
tape	tape	en	False
angri	angry	en	False
thru	thru	en	False
today	today	en	False
vous	vous	fr	True
capit	capital	en	False
jah	jah	et	
riot	riot	en	False
club	club	en	False
peopl	people	en	False
ooo	ooo	en	False
claus	claus	en	False
lamor	l'amore	it	False
ooh	ooh	en	False
refrain	refrain	en	False
clue	clue	en	False
downtown	downtown	en	False
espero	espero	es	False
drown	drown	en	False
savior	savior	en	False
cuanto	cuanto	es	False
summertim	summertime	en	False
aun	aun	es	False
suffoc	suffocate	en	False
car	car	en	False
prepar	prepared	en	False
pretend	pretend	en	False
judg	judge	en	False
soul	soul	en	False
niggaz	niggaz	en	False
cat	cat	en	False
fli	fly	en	False
dyin	dyin'	en	False
sous	sous	fr	False
sour	sour	en	False
whatev	whatever	en	False
cabeza	cabeza	es	False
purpos	purpose	en	False
laughter	laughter	en	False
materi	material	en	False
cae	cae	es	False
heart	heart	en	False
favourit	favourite	en	False
stream	stream	en	False
corazón	corazón	es	False
noch	noch	de	True
livet	livet	sv	False
chip	chips	en	False
fuck	fuck	en	False
alleen	alleen	nl	False
perder	perder	es	False
heard	heard	en	False
stroke	stroke	en	False
chin	chin	en	False
o	o		
phrase	phrase	en	False
chemic	chemical	en	False
feelin	feelin'	en	False
juli	july	en	False
stole	stole	en	False
tar	tar	sv	False
pink	pink	en	False
winter	winter	en	False
soleil	soleil	fr	False
lifeless	lifeless	en	False
mehr	mehr	de	False
foul	foul	en	False
hippi	hippie	en	False
aquel	aquel	es	False
nyt	nyt	fi	True
write	write	en	False
alway	always	en	False
sunday	sunday	en	False
anyon	anyone	en	False
actual	actually	en	False
pure	pure	en	False
swore	swore	en	False
llego	llego	es	False
puro	puro	es	False
amanec	amanecer	es	False
afternoon	afternoon	en	False
map	map	en	False
mas	mas	pt	True
mar	mar	es	False
misma	misma	es	False
may	may	en	False
kopf	kopf	de	False
dive	dive	en	False
fed	fed	en	False
spot	spot	en	False
louder	louder	en	False
niemand	niemand	de	False
pattern	patterns	en	False
mad	mad	en	False
mag	mag	tl	
mai	mais	pt	True
such	such	en	True
suck	suck	en	False
dove	dove	it	True
grow	grow	en	False
leve	leve	pt	False
man	man	en	False
stress	stress	en	False
rêve	rêve	fr	False
neck	neck	en	False
liquid	liquid	en	False
conscious	conscious	en	False
confus	confused	en	False
goal	goal	en	False
secur	security	en	False
favorit	favorite	en	False
avant	avant	fr	False
su	su		
st	st.	en	False
tale	tale	it	False
inform	information	en	False
switch	switch	en	False
etc	etc.	en	False
jail	jail	en	False
jaim	j'aime	fr	False
unleash	unleash	en	False
tall	tall	en	False
sa	sa		
ordinari	ordinary	en	False
talk	talk	en	False
drunken	drunken	en	False
cute	cute	en	False
manera	manera	es	False
shield	shield	en	False
anticip	anticipating	en	False
footstep	footsteps	en	False
etwa	etwas	de	True
midnight	midnight	en	False
agoni	agony	en	False
immer	immer	de	False
brain	brain	en	False
yearn	yearning	en	False
aha	aha	pl	
lyric	lyrics	en	False
hacia	hacia	es	False
cold	cold	en	False
still	still	en	False
skeleton	skeleton	en	False
worship	worship	en	False
tore	tore	de	False
già	già	it	False
forma	forma	es	False
group	group	en	False
thumb	thumb	en	False
willow	willow	en	False
thang	thang	vi	
torn	torn	en	False
jij	jij	nl	False
shakin	shakin'	en	False
lyin	lyin'	en	False
civil	civil	en	False
window	window	en	False
whole	whole	en	False
kaiken	kaiken	fi	False
maim	m'aimes	fr	False
mail	mail	en	False
main	main	en	False
bounc	bounce	en	False
insect	insects	en	False
augen	augen	de	False
nom	nom	fr	False
non	non	it	True
ahi	ahi	es	False
recal	recall	en	False
noi	noi	ro	True
smash	smash	en	False
javai	j'avais	fr	False
bein	bein'	ar	False
nog	nog	nl	True
shatter	shattered	en	False
dimmi	dimmi	it	False
sooner	sooner	en	False
sol	sol	es	False
underneath	underneath	en	False
lunch	lunch	en	False
sorriso	sorriso	pt	False
loneli	loneliness	en	False
conquer	conquer	en	False
tax	tax	en	False
disappoint	disappointed	en	False
not	don't	en	True
qu	qu'	zh-CN	
now	now	en	True
twilight	twilight	en	False
hall	hall	en	False
nor	nor	en	True
nos	nos	pt	True
wont	wont	en	False
term	terms	en	False
name	name	en	False
servant	servant	en	False
mellow	mellow	en	False
frank	frank	en	False
drop	drop	en	False
vaan	vaan	fi	True
flown	flown	en	False
separ	separate	en	False
magazin	magazine	en	False
savag	savage	en	False
careless	careless	en	False
rock	rock	en	False
nois	noise	en	False
caminar	caminar	es	False
collaps	collapse	en	False
terr	terre	fr	False
keiner	keiner	de	True
em	'em	pt	False
el	el		
en	en		
ei	ei		
eh	eh		
replac	replace	en	False
eg	eg		
torch	torch	en	False
står	står	sv	False
yeah	yeah	en	False
bodi	body	en	False
mulher	mulher	pt	False
ey	ey		
begun	begun	en	False
ez	ez		
eu	eu		
et	et		
girl	girl	en	False
summon	summon	en	False
mommi	mommy	en	False
es	es		
er	er		
album	album	en	False
shown	shown	en	False
ambit	ambition	en	False
jackson	jackson	en	False
stitch	stitch	en	False
space	space	en	False
profit	profit	en	False
dort	dort	de	True
astray	astray	en	False
flesh	flesh	en	False
poco	poco	es	True
johnni	johnny	en	False
fazer	fazer	pt	False
bli	bli	sv	True
olvido	olvido	es	False
stell	stelle	it	False
uncl	uncle	en	False
bless	blessed	en	False
bla	bla	no	False
correct	correct	en	False
romanc	romance	en	False
screw	screw	en	False
diseas	disease	en	False
monster	monster	en	False
glimps	glimpse	en	False
tienen	tienen	es	True
sogno	sogno	it	False
septemb	september	en	False
million	million	en	False
seventh	seventh	en	False
argu	argue	en	False
auch	auch	de	True
g	g		
cari	cari	id	False
california	california	en	False
rebel	rebel	en	False
plea	plea	en	False
romant	romantic	en	False
allá	allá	es	False
cara	cara	id	True
grab	grab	en	False
card	cards	en	False
care	care	ro	True
imagin	imagine	en	False
funki	funky	en	False
gusta	gusta	es	False
sabor	sabor	es	False
luego	luego	es	False
don`t	don`t	en	False
punk	punk	en	False
refus	refuse	en	False
honest	honest	en	False
motion	motion	en	False
turn	turn	en	False
può	può	it	False
place	place	en	False
aboard	aboard	en	False
swing	swing	en	False
preach	preach	en	False
think	think	en	False
first	first	en	False
oper	operator	en	False
mucha	muchas	es	False
carri	carry	en	False
onc	once	en	True
mitä	mitä	fi	True
vient	vient	fr	False
ond	onde	pt	False
yourself	yourself	en	True
arriv	arrive	en	False
fast	fast	en	False
spanish	spanish	en	False
vote	vote	en	False
ring	ring	en	False
dreamin	dreamin'	en	False
open	open	en	False
tomorrow	tomorrow	en	False
ont	ont	fr	True
size	size	en	False
sheep	sheep	en	False
given	given	en	False
chanson	chanson	fr	False
sheet	sheets	en	False
christma	christmas	en	False
teenag	teenage	en	False
llegar	llegar	es	False
caught	caught	en	False
breed	breed	en	False
plastic	plastic	en	False
citi	city	en	False
silenc	silence	en	False
2	2		
tragic	tragic	en	False
breez	breeze	en	False
circl	circle	en	False
white	white	en	False
las	las	es	True
perdida	perdida	es	False
friend	friend	en	False
altro	altro	it	False
suert	suerte	es	False
hug	hug	en	False
sento	sento	it	False
that	that	en	True
season	season	en	False
hun	hun	nl	True
huh	huh	en	False
lhe	lhe	pt	True
eagl	eagle	en	False
spinnin	spinnin'	en	False
short	short	en	False
decemb	december	en	False
bajo	bajo	es	False
gin	gin	en	False
x2	(x2)	en	False
x3	(x3)	en	False
than	than	en	True
x4	(x4)	uz	
boyfriend	boyfriend	en	False
serv	serve	en	False
wide	wide	en	False
gehn	gehn	de	False
12	12		
15	15		
plein	plein	fr	False
i’ll	i’ll	en	False
16	16		
jealousi	jealousy	en	False
gotta	gotta	en	False
r	r		
remors	remorse	en	False
balanc	balance	en	False
werd	werde	de	True
were	were	en	True
geht	geht	de	False
futuro	futuro	es	False
and	and	en	True
sai	sais	fr	False
não	não	pt	True
pra	pra	pt	False
ana	ana	az	False
angel	angel	en	False
slay	slay	en	False
saa	saa	fi	False
dass	dass	de	True
sag	sag	da	False
ani	any	en	True
slap	slap	en	False
sad	sad	bs	
sull	sulle	it	True
woah	woah	en	False
say	say	en	False
slam	slam	en	False
rent	rent	en	False
deliv	deliver	en	False
anger	anger	en	False
allen	allen	de	True
breakfast	breakfast	en	False
saw	saw	en	False
sogni	sogni	it	False
sat	sat	en	False
nott	notte	it	False
hör	hör	sv	False
engin	engine	en	False
squar	square	en	False
advic	advice	en	False
notr	notre	fr	True
mitt	mitt	sv	True
jahr	jahre	de	False
kan	kan	sv	True
weiß	weiß	de	False
zoo	zoo	en	False
note	note	en	False
soñar	soñar	es	False
satellit	satellite	en	False
squad	squad	en	False
loca	loca	es	False
take	take	en	False
deux	deux	fr	False
fingertip	fingertips	en	False
destroy	destroy	en	False
concern	concerned	en	False
blunt	blunt	en	False
noth	nothing	en	False
channel	channel	en	False
surf	surf	en	False
miei	miei	it	True
begin	begin	en	False
sure	sure	en	False
pain	pain	en	False
trace	trace	en	False
normal	normal	en	False
track	track	en	False
ust	usted	es	False
price	price	en	False
knew	knew	en	False
wird	wird	de	True
paid	paid	en	False
butterfli	butterfly	en	False
champagn	champagne	en	False
cualquier	cualquier	es	False
pair	pair	en	False
knee	knees	en	False
america	america	en	False
bluebird	bluebird	en	False
på	på		
anch	anche	it	True
lawn	lawn	en	False
pathet	pathetic	en	False
rescu	rescue	en	False
angst	angst	de	False
egg	egg	en	False
alguna	alguna	es	False
later	later	en	False
drive	drive	en	False
tooth	tooth	en	False
sunset	sunset	en	False
greed	greed	en	False
axe	axe	fr	False
voodoo	voodoo	en	False
steadi	steady	en	False
hungri	hungry	en	False
shop	shop	en	False
perch	perche'	it	False
troi	trois	fr	False
shot	shot	en	False
show	show	en	False
cheat	cheat	en	False
need	need	en	False
olho	olhos	pt	False
cheap	cheap	en	False
estoy	estoy	es	True
bright	bright	en	False
shoe	shoes	en	False
corner	corner	en	False
trop	trop	fr	False
takin	takin'	en	False
estou	estou	pt	True
inn	inn	no	True
ground	ground	en	False
aint	aint	en	False
righteous	righteous	en	False
onli	only	en	True
slow	slow	en	False
unkind	unkind	en	False
stair	stairs	en	False
lua	lua	ro	False
dich	dich	de	True
pen	pen	en	False
himmel	himmel	de	False
dick	dick	en	False
joka	joka	fi	True
behind	behind	en	False
crime	crime	en	False
joli	jolie	fr	False
lumièr	lumière	fr	False
wood	wood	en	False
black	black	en	False
aina	aina	fi	False
stormi	stormy	en	False
när	när	sv	True
stain	stained	en	False
deseo	deseo	es	False
vuela	vuela	es	False
predict	predict	en	False
american	american	en	False
stay	stay	en	False
get	get	en	False
ventana	ventana	es	False
toca	toca	es	False
mission	mission	en	False
cannot	cannot	en	False
georg	george	en	False
gee	gee	af	
lui	lui	ro	True
cryin	cryin'	en	False
geh	geh	de	False
gen	gens	fr	False
stroll	stroll	en	False
truli	truly	en	False
prime	prime	en	False
reveal	reveal	en	False
pistol	pistol	en	False
prima	prima	it	False
pimp	pimp	en	False
artist	artist	en	False
leather	leather	en	False
schwer	schwer	de	False
borrow	borrow	en	False
tension	tension	en	False
priest	priest	en	False
leur	leur	fr	True
sehn	sehn	de	False
silencio	silencio	es	False
dough	dough	en	False
where	where	en	True
husband	husband	en	False
figur	figure	en	False
dice	dice	es	False
burst	burst	en	False
station	station	en	False
conscienc	conscience	fr	False
seat	seat	en	False
asleep	asleep	en	False
honesti	honesty	en	False
seam	seams	en	False
contar	contar	es	False
sport	sport	en	False
sait	sait	fr	False
wonder	wonder	en	False
infinit	infinite	en	False
appear	appear	en	False
televis	television	en	False
crystal	crystal	en	False
label	label	en	False
cd	cd		
3	3		
estar	estar	es	True
between	between	en	True
llorar	llorar	es	False
import	important	en	False
yesterday	yesterday	en	False
ormai	ormai	it	False
across	across	en	False
fight	fight	en	False
vie	vie	fr	False
parent	parents	en	False
dinero	dinero	es	False
screen	screen	en	False
tus	tus	es	True
tut	tut	de	False
obscen	obscene	en	False
punto	punto	it	False
guitar	guitar	en	False
cycl	cycle	en	False
jo	jo		
comm	comme	fr	False
como	como	es	True
tuo	tuo	it	True
je	je		
spark	spark	en	False
comb	comb	en	False
come	come	en	False
tue	tue	it	True
vrai	vrai	fr	False
blame	blame	en	False
mond	monde	fr	False
superstar	superstar	en	False
canta	canta	es	False
useless	useless	en	False
tuck	tuck	en	False
quier	quieres	es	False
quiet	quiet	en	False
empezar	empezar	es	False
s	s		
tous	tous	fr	False
tout	tout	fr	False
aura	aura	fr	True
igen	igen	sv	False
quien	quien	es	True
mani	many	en	False
canción	canción	es	False
mann	mann	de	False
mano	mano	lt	
among	among	en	False
você	você	pt	True
spoil	spoil	en	False
cancer	cancer	en	False
distancia	distancia	es	False
color	color	en	False
hypnot	hypnotized	en	False
pot	pot	ro	True
inspir	inspiration	en	False
cuando	cuando	es	True
insist	insist	en	False
messin	messin'	en	False
pon	pon	bg	
jaw	jaw	en	False
pole	pole	et	
featur	features	en	False
besoin	besoin	fr	False
poi	poi	it	False
fucker	fucker	en	False
constant	constant	en	False
comprehend	comprehend	en	False
boat	boat	en	False
damag	damage	en	False
mare	mare	ro	False
ultim	ultimate	en	False
seiz	seize	en	False
sest	s'est	fr	False
coupl	couple	en	False
stretch	stretch	en	False
west	west	en	False
oder	oder	de	True
suicid	suicide	en	False
ja	ja		
breath	breath	en	False
toss	toss	en	False
pourtant	pourtant	fr	False
qué	qué	es	True
venir	venir	fr	False
carv	carved	en	False
buscar	buscar	es	False
graveyard	graveyard	en	False
reaction	reaction	en	False
hurrican	hurricane	en	False
thousand	thousand	tl	
valor	valor	pt	False
rubi	ruby	en	False
lamour	l'amour	fr	False
ceux	ceux	fr	False
tiger	tiger	en	False
wake	wake	en	False
rememb	remember	en	False
instant	instant	en	False
amant	amante	es	False
spirit	spirit	en	False
those	those	en	True
sound	sound	en	False
myself	myself	en	True
casa	casa	es	False
these	these	en	True
slumber	slumber	en	False
caso	caso	es	False
pobr	pobre	es	False
casi	casi	es	False
cash	cash	en	False
cree	crees	es	False
trick	trick	en	False
cast	cast	en	False
céu	céu	pt	False
scum	scum	en	False
vaikka	vaikka	fi	True
fim	fim	pt	False
cock	cock	en	False
spotlight	spotlight	en	False
buen	buen	es	False
pushin	pushin'	en	False
ive	ive	en	False
anytim	anytime	en	False
conmigo	conmigo	es	False
seein	seein'	en	False
muerto	muerto	es	False
soil	soil	en	False
convinc	convince	en	False
worri	worry	en	False
destin	destination	en	False
strain	strain	en	False
sudden	suddenly	en	False
eras	erase	en	False
soir	soir	fr	False
absurd	absurd	en	False
everyday	everyday	en	False
viento	viento	es	False
par	par	fr	True
pas	pas	fr	True
medio	medio	es	False
pay	pay	en	False
thinkin	thinkin'	en	False
medic	medication	en	False
bowl	bowl	en	False
tour	tour	en	False
same	same	en	True
check	check	en	False
gentlemen	gentlemen	en	False
food	food	en	False
extraño	extraño	es	False
heartbreak	heartbreak	en	False
blanket	blanket	en	False
motherfuckin	motherfuckin'	en	False
hecho	hecho	es	False
sucker	sucker	en	False
admir	admire	en	False
eventu	eventually	en	False
pal	pal	en	False
pan	pan	en	False
week	week	en	False
phantom	phantom	en	False
för	för	sv	True
oil	oil	en	False
kuinka	kuinka	fi	False
see	see	en	False
ni	ni		
sotto	sotto	it	False
itâ	itâs	en	False
nest	n'est	fr	False
driver	driver	en	False
someon	someone	en	False
weed	weed	en	False
driven	driven	en	False
dabei	dabei	de	False
disguis	disguise	en	False
weer	weer	nl	False
defi	defy	en	False
weep	weep	en	False
tenho	tenho	pt	True
handsom	handsome	en	False
drain	drain	en	False
cherri	cherry	en	False
no	no		
nothin	nothin'	en	False
justifi	justify	en	False
hustl	hustle	en	False
lento	lento	es	False
machen	machen	de	True
relief	relief	en	False
temptat	temptation	en	False
conoc	conoce	es	False
ces	ces	fr	True
model	model	en	False
reward	reward	en	False
sinner	sinner	en	False
taxi	taxi	en	False
summer	summer	en	False
violenc	violence	en	False
execut	execution	en	False
vamo	vamos	es	False
visto	visto	it	False
neon	neon	en	False
rest	rest	en	False
violent	violent	en	False
quién	quién	es	False
kill	kill	en	False
scrape	scrape	en	False
file	file	en	False
touch	touch	en	False
flavor	flavor	en	False
habrá	habrá	es	True
speed	speed	en	False
halfway	halfway	en	False
blow	blow	en	False
quella	quella	it	True
death	death	en	False
rosi	rosie	en	False
parad	parade	en	False
rose	rose	en	False
llanto	llanto	es	False
bobbi	bobby	en	False
quello	quello	it	True
except	except	en	False
littl	little	en	False
odio	odio	la	
instrument	instrumental	en	False
ghetto	ghetto	en	False
pile	pile	en	False
4	4		
iâ	iÂ'm	en	False
verso	verso	it	False
wär	wär	de	False
struck	struck	en	False
llorando	llorando	es	False
determin	determined	en	False
pill	pills	en	False
kingdom	kingdom	en	False
ditt	ditt	sv	True
mucho	mucho	es	True
rejoic	rejoice	en	False
frown	frown	en	False
amo	amo	pt	False
damnat	damnation	en	False
ama	ama	tr	True
por	por	es	True
lado	lado	es	False
ladi	lady	en	False
gonna	gonna	en	False
dart	darte	es	False
dark	dark	en	False
moi	moi	fr	True
temperatur	temperature	en	False
traffic	traffic	en	False
pop	pop	en	False
mom	mom	en	False
darl	darling	en	False
libr	libre	es	False
railroad	railroad	en	False
leva	leva	pt	False
reap	reap	en	False
dare	dare	it	False
meat	meat	en	False
saniti	sanity	en	False
duti	duty	en	False
beggin	beggin'	en	False
stranger	stranger	en	False
wel	wel	nl	False
kickin	kickin'	en	False
twin	twin	en	False
shelf	shelf	en	False
nu	nu		
chamber	chamber	en	False
oblivion	oblivion	en	False
maker	maker	en	False
t	t		
hallelujah	hallelujah	en	False
whatcha	whatcha	en	False
opportun	opportunity	en	False
claw	claws	en	False
morena	morena	pt	False
manag	manage	en	False
clap	clap	en	False
emerg	emergency	en	False
fulfil	fulfill	en	False
wonderin	wonderin'	en	False
doll	doll	en	False
soy	soy	es	True
iâm	iâm	en	False
muscl	muscle	en	False
butt	butt	en	False
nombr	nombre	es	False
naar	naar	nl	True
root	roots	en	False
radiat	radiation	en	False
buzz	buzz	en	False
freez	freeze	en	False
besser	besser	de	False
slice	slice	en	False
lotta	lotta	it	False
drank	drank	en	False
easili	easily	en	False
noon	no-one	en	False
hoje	hoje	pt	False
slick	slick	en	False
legal	legal	en	False
moon	moon	en	False
meiner	meiner	de	True
‘caus	‘cause	en	False
teardrop	teardrops	da	False
exit	exit	en	False
runaway	runaway	en	False
är	är		
devot	devotion	en	False
complic	complicated	en	False
knife	knife	en	False
power	power	en	False
raus	raus	de	False
dicen	dicen	es	False
garbag	garbage	en	False
sido	sido	es	False
earn	earn	en	False
slaughter	slaughter	en	False
quem	quem	pt	True
broken	broken	en	False
habe	habe	de	True
nós	nós	pt	True
throw	throw	en	False
nosotro	nosotros	es	True
oo	oo		
on	on		
om	om		
ol	ol'	tr	False
wolv	wolves	en	False
abus	abuse	en	False
oi	oi		
oh	oh		
og	og		
of	of		
ach	aching	en	False
ohoh	oh-oh	en	False
ob	ob		
greater	greater	en	False
meal	meal	en	False
chop	chop	en	False
degre	degree	en	False
intens	intense	en	False
wolf	wolf	en	False
stand	stand	en	False
neighbor	neighbors	en	False
roam	roam	en	False
ow	ow		
ou	ou		
luck	luck	en	False
os	os		
or	or		
road	road	en	False
op	op		
routin	routine	en	False
anybodi	anybody	en	False
esser	essere	it	False
press	press	en	False
misti	misty	en	False
mari	mary	en	False
honki	honky	en	False
amiga	amiga	pt	False
strip	strip	en	False
effort	effort	en	False
uptown	uptown	en	False
nurs	nurse	en	False
mark	mark	en	False
your	your	en	True
restless	restless	en	False
het	het	nl	True
scorn	scorn	en	False
nein	nein	de	False
her	her	en	True
gleam	gleam	en	False
saudad	saudade	pt	False
there	there	en	True
lon	l'on	tr	False
hey	hey	en	False
start	start	en	False
fascin	fascination	en	False
starv	starving	en	False
low	low	en	False
lot	lot	en	False
lou	lou	en	False
hem	hem	nl	True
valley	valley	en	False
escapar	escapar	gl	
yah	yah	id	False
gain	gain	en	False
lang	lang	tl	
bottl	bottle	en	False
dormir	dormir	es	False
enough	enough	en	False
stupid	stupid	en	False
regard	regard	en	False
amongst	amongst	en	False
soledad	soledad	es	False
gibt	gibt	de	False
gore	gore	bs	
dolor	dolor	la	
fighter	fighter	en	False
with	with	en	True
conclus	conclusion	en	False
faster	faster	en	False
pull	pull	en	False
rush	rush	en	False
darken	darkened	en	False
dirti	dirty	en	False
joint	joint	en	False
rage	rage	en	False
vice	vice	en	False
ember	embers	en	False
tellin	tellin'	en	False
flirt	flirt	en	False
agora	agora	pt	False
grasp	grasp	en	False
grass	grass	en	False
rust	rust	en	False
connect	connection	en	False
gone	gone	en	False
ohn	ohne	de	True
ab	ab		
ohh	ohh	en	False
ad	ad		
fright	fright	en	False
ai	ai		
ah	ah		
am	am		
al	al		
deep	deep	en	False
nerv	nerve	en	False
sacr	sacred	en	False
tengo	tengo	es	True
intro	intro:	en	False
au	au		
uit	uit	nl	True
aw	awful	en	False
av	av		
ay	ay		
deed	deeds	en	False
az	az		
rearrang	rearrange	en	False
flock	flock	en	False
film	film	en	False
fill	fill	en	False
abyss	abyss	en	False
jingl	jingle	en	False
coração	coração	pt	False
idiot	idiot	en	False
forsak	forsake	en	False
repent	repent	en	False
rubber	rubber	en	False
field	fields	en	False
5	5		
vad	vad	sv	True
you	you	en	True
trash	trash	en	False
babylon	babylon	en	False
10	10		
poor	poor	en	False
shelter	shelter	en	False
domani	domani	it	False
symbol	symbol	en	False
teeth	teeth	en	False
drift	drifting	en	False
m	m		
terra	terra	it	False
keepin	keepin'	en	False
peak	peak	en	False
mentira	mentira	es	False
sulla	sulla	it	True
lair	l'air	fr	False
peac	peace	en	False
pool	pool	en	False
lipstick	lipstick	en	False
meadow	meadow	en	False
wife	wife	en	False
thorn	thorns	en	False
flyin	flyin'	en	False
mask	mask	en	False
mash	mash	ar	False
moonlight	moonlight	en	False
mentr	mentre	it	False
u	u		
pierc	pierce	en	False
castl	castle	en	False
alright	alright	en	False
escap	escape	en	False
apathi	apathy	en	False
togeth	together	en	False
all	all	en	True
diss	diss	en	False
liar	liar	id	False
forget	forget	en	False
cough	cough	en	False
ali	ali	sl	
forbidden	forbidden	en	False
lack	lack	en	False
dollar	dollar	en	False
correr	correr	es	False
fuego	fuego	es	False
ciudad	ciudad	es	False
dish	dish	en	False
follow	follow	en	False
sueño	sueño	es	False
lace	lace	en	False
sung	sung	vi	
carpet	carpet	en	False
habla	habla	es	False
corps	corpse	en	False
ty	ty		
imma	imma	mt	
tu	tu		
dieser	dieser	de	True
to	to		
tail	tail	en	False
program	program	en	False
ti	ti		
crimson	crimson	en	False
smile	smile	en	False
kvar	kvar	sv	False
te	te		
knot	knot	en	False
oss	oss	no	True
introduc	introduce	en	False
ta	ta		
faz	faz	pt	False
ninguém	ninguém	pt	False
vers	verse	en	False
woman	woman	en	False
estaba	estaba	es	True
vert	verte	fr	False
song	song	en	False
far	far	en	False
horror	horror	en	False
fat	fat	en	False
sono	sono	it	True
vera	veras	es	False
we’r	we’re	en	False
hypocrit	hypocrite	en	False
fai	fais	fr	False
einmal	einmal	de	True
verd	verde	it	False
fall	fall	en	False
veri	very	en	True
ayer	ayer	es	False
ticket	ticket	en	False
strang	strange	en	False
strand	stranded	en	False
trigger	trigger	en	False
gott	gott	sv	False
pueblo	pueblo	es	False
heaven	heaven	en	False
alma	alma	es	False
harri	harry	en	False
list	list	en	False
fatto	fatto	it	False
forti	forty	en	False
nossa	nossa	pt	True
sang	sang	vi	
sand	sand	en	False
sane	sane	en	False
small	small	en	False
lisa	lisa	et	
buck	buck	en	False
stumbl	stumble	en	False
ora	ora	it	False
quun	qu'un	fr	False
dimens	dimension	en	False
neighborhood	neighborhood	en	False
tem	tem	pt	True
ten	ten	pl	
haar	haar	nl	True
tea	tea	en	False
volar	volar	es	False
paso	paso	es	False
vete	vete	sq	
past	past	en	False
strung	strung	en	False
zero	zero	en	False
pressur	pressure	en	False
design	design	en	False
pass	pass	en	False
further	further	en	True
ter	ter	pt	False
tes	tes	fr	True
mill	mille	et	
ribbon	ribbons	en	False
belief	belief	en	False
excit	excited	en	False
what	what	en	True
stood	stood	en	False
microphon	microphone	en	False
clock	clock	en	False
nana	nana	ja	
sun	sun	en	False
sum	sum	en	False
sul	sul	it	True
abl	able	en	False
quelqu	quelques	fr	False
sui	suis	fr	True
fleur	fleurs	fr	False
crush	crush	en	False
public	public	en	False
abr	abre	pt	False
version	version	en	False
sus	sus	es	True
sur	sur	fr	True
deepli	deeply	en	False
ang	ang	tl	
method	method	en	False
jede	jede	de	True
movement	movement	en	False
full	full	en	False
themselv	themselves	en	True
nena	nena	es	False
tragedi	tragedy	en	False
vale	vale	pt	False
kimi	kimi	az	True
heb	heb	nl	True
aquello	aquellos	es	False
immort	immortal	en	False
trunk	trunk	en	False
hast	hast	de	False
depend	depend	en	False
goodby	goodbye	en	False
standard	standard	en	False
legend	legend	en	False
valu	value	en	False
leav	leave	en	False
arena	arena	en	False
search	searching	en	False
graviti	gravity	en	False
ahead	ahead	en	False
miseri	misery	en	False
whine	whine	en	False
brutal	brutal	en	False
premier	premier	fr	False
soldier	soldier	en	False
base	base	en	False
près	près	fr	False
durch	durch	de	True
pick	pick	en	False
action	action	en	False
narrow	narrow	en	False
medicin	medicine	en	False
via	via	en	False
depart	departed	en	False
declin	decline	en	False
vez	vez	es	False
hogi	hogy	hu	True
africa	africa	en	False
vil	vil	da	True
él	él		
és	és		
ask	ask	en	False
voyag	voyage	fr	False
send	send	en	False
famili	family	en	False
demis	demise	en	False
asi	asi	cs	
tutto	tutto	it	True
eye	eyes	en	False
tutti	tutti	it	True
liber	liberate	en	False
faint	faint	en	False
two	two	en	False
mort	mort	fr	False
pearl	pearls	en	False
morn	morning	en	False
6	6		
taken	taken	en	False
fr	fr		
minor	minor	en	False
more	more	en	True
teen	teen	en	False
tryna	tryna	en	False
flaw	flaws	en	False
diamond	diamond	en	False
door	door	nl	True
alltid	alltid	sv	False
mire	mire	hu	False
hundr	hundred	en	False
hurri	hurry	en	False
mira	mira	es	False
askin	askin'	tr	False
terror	terror	en	False
flag	flag	en	False
stick	stick	en	False
broke	broke	en	False
aris	arise	en	False
known	known	en	False
compani	company	en	False
doom	doom	en	False
komm	komm	de	False
estribillo	estribillo	es	False
glad	glad	en	False
don’t	don’t	en	False
town	town	en	False
mí	mí		
none	none	en	False
thread	thread	en	False
eden	eden	tr	False
hous	house	en	False
ça	ça		
der	der	de	True
des	des	fr	True
det	det	sv	True
dew	dew	en	False
dei	dei	it	True
remain	remain	en	False
del	del	es	True
dem	dem	de	True
den	den	de	True
learn	learn	en	False
abandon	abandoned	en	False
male	male	en	False
dee	dee	ar	False
enfant	enfants	fr	False
