stem,word_m,lang_GT_API,stopword,remove?,remove_class,pos
worn,worn,en,False,False,,v.
patient,patiently,en,False,False,,adv.
helpless,helpless,en,False,False,,adj.
bake,bake,en,False,False,,n.
mister,mister,en,False,False,,n.
mall,mall,en,False,False,,n.
melt,melt,en,False,False,,n.
uniform,uniform,en,False,False,,n.
current,current,en,False,False,,adj.
ancient,ancient,en,False,False,,adj.
indiffer,indifference,en,False,False,,n.
order,order,en,False,False,,n.
corn,corn,en,False,False,,n.
burn,burn,en,False,False,,n.
drinkin,drinking,en,False,False,,n.
ridin,riding,en,False,False,,v.
french,french,en,False,False,,n.
water,water,en,False,False,,n.
witch,witch,en,False,False,,n.
deceit,deceit,en,False,False,,n.
along,along,en,False,False,,
teacher,teacher,en,False,False,,n.
wait,waiting,en,False,False,,v.
box,box,en,False,False,,n.
boy,boy,en,False,False,,n.
insan,insane,en,False,False,,adj.
fenc,fence,en,False,False,,n.
shove,shove,en,False,False,,n.
invit,invitation,en,False,False,,n.
bop,bop,en,False,False,,n.
shift,shift,en,False,False,,n.
runnin,running,en,False,False,,v.
screamin,screaming,en,False,False,,v.
bow,bow,en,False,False,,v.
trial,trial,en,False,False,,n.
patienc,patience,en,False,False,,n.
boo,boo,en,False,False,,n.
dusti,dusty,en,False,False,,n.
colleg,college,en,False,False,,n.
bob,bob,en,False,False,,n.
guilti,guilty,en,False,False,,adj.
pillow,pillow,en,False,False,,n.
ourselv,ourselves,en,True,True,nltk_sw,
love,love,en,False,False,,n.
extra,extra,en,False,False,,adj.
rattl,rattle,en,False,False,,n.
prefer,prefer,en,False,False,,v.
fake,fake,en,False,False,,adj.
fool,fool,en,False,False,,n.
tuesday,tuesday,en,False,False,,n.
peep,peep,en,False,False,,n.
market,market,en,False,False,,n.
bloodi,bloody,en,False,False,,adj.
wealth,wealth,en,False,False,,n.
memori,memories,en,False,False,,v.
sake,sake,en,False,False,,n.
saddl,saddle,en,False,False,,v.
univers,universe,en,False,False,,n.
visit,visit,en,False,False,,v.
everybodi,everybody,en,False,False,,
live,live,en,False,False,,v.
prey,prey,en,False,False,,n.
everywher,everywhere,en,False,False,,adv.
ahhh,ahhh,en,False,False,,n.
tape,tape,en,False,False,,n.
angri,angry,en,False,False,,adj.
thru,thru,en,False,False,,
today,today,en,False,False,,n.
capit,capital,en,False,False,,n.
riot,riot,en,False,False,,n.
club,club,en,False,False,,n.
peopl,people,en,False,False,,n.
ooo,ooo,en,False,False,,n.
claus,claus,en,False,False,,n.
ooh,ooh,en,False,False,,n.
refrain,refrain,en,False,False,,n.
clue,clue,en,False,False,,n.
downtown,downtown,en,False,False,,n.
drown,drown,en,False,False,,n.
savior,savior,en,False,False,,n.
summertim,summertime,en,False,False,,n.
suffoc,suffocate,en,False,False,,v.
car,car,en,False,False,,n.
prepar,prepared,en,False,False,,v.
pretend,pretend,en,False,False,,v.
judg,judge,en,False,False,,n.
soul,soul,en,False,False,,n.
niggaz,niggaz,en,False,False,,adj.
cat,cat,en,False,False,,n.
fli,fly,en,False,False,,v.
dyin,dying,en,False,False,,v.
sour,sour,en,False,False,,adj.
whatev,whatever,en,False,False,,
purpos,purpose,en,False,False,,n.
laughter,laughter,en,False,False,,n.
materi,material,en,False,False,,n.
heart,heart,en,False,False,,n.
favourit,favourite,en,False,False,,adj.
stream,stream,en,False,False,,n.
chip,chips,en,False,False,,n.
fuck,fuck,en,False,False,,n.
heard,heard,en,False,False,,v.
stroke,stroke,en,False,False,,v.
chin,chin,en,False,False,,n.
phrase,phrase,en,False,False,,n.
chemic,chemical,en,False,False,,n.
feelin,feeling,en,False,False,,n.
juli,july,en,False,False,,n.
stole,stole,en,False,False,,v.
pink,pink,en,False,False,,v.
winter,winter,en,False,False,,n.
lifeless,lifeless,en,False,False,,n.
foul,foul,en,False,False,,adj.
hippi,hippie,en,False,False,,n.
write,write,en,False,False,,v.
alway,always,en,False,False,,adv.
sunday,sunday,en,False,False,,n.
anyon,anyone,en,False,False,,
actual,actually,en,False,False,,adv.
pure,pure,en,False,False,,adj.
swore,swore,en,False,False,,n.
afternoon,afternoon,en,False,False,,n.
map,map,en,False,False,,n.
may,may,en,False,False,,v.
dive,dive,en,False,False,,v.
fed,fed,en,False,False,,n.
spot,spot,en,False,False,,n.
louder,louder,en,False,False,,n.
pattern,patterns,en,False,False,,n.
mad,mad,en,False,False,,adj.
such,such,en,True,True,nltk_sw,adj.
suck,suck,en,False,False,,n.
grow,grow,en,False,False,,v.
man,man,en,False,False,,n.
stress,stress,en,False,False,,n.
neck,neck,en,False,False,,n.
liquid,liquid,en,False,False,,n.
conscious,conscious,en,False,False,,adj.
confus,confused,en,False,False,,v.
goal,goal,en,False,False,,n.
secur,security,en,False,False,,n.
favorit,favorite,en,False,False,,adj.
st,st.,en,False,False,,
inform,information,en,False,False,,n.
switch,switch,en,False,False,,v.
etc,etc.,en,False,False,,
jail,jail,en,False,False,,n.
unleash,unleash,en,False,False,,adj.
tall,tall,en,False,False,,adj.
ordinari,ordinary,en,False,False,,adj.
talk,talk,en,False,False,,n.
drunken,drunken,en,False,False,,v.
cute,cute,en,False,False,,n.
shield,shield,en,False,False,,n.
anticip,anticipating,en,False,False,,v.
footstep,footsteps,en,False,False,,n.
midnight,midnight,en,False,False,,n.
agoni,agony,en,False,False,,n.
brain,brain,en,False,False,,n.
yearn,yearning,en,False,False,,v.
lyric,lyrics,en,False,False,,n.
cold,cold,en,False,False,,adj.
still,still,en,False,False,,adv.
skeleton,skeleton,en,False,False,,n.
worship,worship,en,False,False,,n.
group,group,en,False,False,,n.
thumb,thumb,en,False,False,,n.
willow,willow,en,False,False,,n.
torn,torn,en,False,False,,v.
shakin,shaking,en,False,False,,v.
lyin,lying,en,False,False,,v.
civil,civil,en,False,False,,adj.
window,window,en,False,False,,n.
whole,whole,en,False,False,,adj.
mail,mail,en,False,False,,n.
main,main,en,False,False,,adj.
bounc,bounce,en,False,False,,n.
insect,insects,en,False,False,,n.
recal,recall,en,False,False,,n.
smash,smash,en,False,False,,n.
shatter,shattered,en,False,False,,v.
sooner,sooner,en,False,False,,adv.
underneath,underneath,en,False,False,,n.
lunch,lunch,en,False,False,,n.
loneli,loneliness,en,False,False,,n.
conquer,conquer,en,False,False,,n.
tax,tax,en,False,False,,n.
disappoint,disappointed,en,False,False,,v.
not,don't,en,True,True,nltk_sw,
now,now,en,True,True,nltk_sw,adv.
twilight,twilight,en,False,False,,n.
hall,hall,en,False,False,,n.
nor,nor,en,True,True,nltk_sw,
wont,wont,en,False,False,,
term,terms,en,False,False,,n.
name,name,en,False,False,,n.
servant,servant,en,False,False,,n.
mellow,mellow,en,False,False,,n.
frank,frank,en,False,False,,n.
drop,drop,en,False,False,,v.
flown,flown,en,False,False,,v.
separ,separate,en,False,False,,adj.
magazin,magazine,en,False,False,,n.
savag,savage,en,False,False,,n.
careless,careless,en,False,False,,adj.
rock,rock,en,False,False,,n.
nois,noise,en,False,False,,n.
collaps,collapse,en,False,False,,n.
replac,replace,en,False,False,,v.
torch,torch,en,False,False,,n.
yeah,yeah,en,False,False,,
bodi,body,en,False,False,,n.
begun,begun,en,False,False,,v.
girl,girl,en,False,False,,n.
summon,summon,en,False,False,,n.
mommi,mommy,en,False,False,,n.
album,album,en,False,False,,n.
shown,shown,en,False,False,,v.
ambit,ambition,en,False,False,,n.
jackson,jackson,en,False,False,,n.
stitch,stitch,en,False,False,,n.
space,space,en,False,False,,n.
profit,profit,en,False,False,,n.
astray,astray,en,False,False,,n.
flesh,flesh,en,False,False,,n.
johnni,johnny,en,False,False,,n.
uncl,uncle,en,False,False,,n.
bless,blessed,en,False,False,,v.
correct,correct,en,False,False,,adj.
romanc,romance,en,False,False,,n.
screw,screw,en,False,False,,n.
diseas,disease,en,False,False,,n.
monster,monster,en,False,False,,n.
glimps,glimpse,en,False,False,,n.
septemb,september,en,False,False,,n.
million,million,en,False,False,,n.
seventh,seventh,en,False,False,,adj.
argu,argue,en,False,False,,v.
california,california,en,False,False,,n.
rebel,rebel,en,False,False,,n.
plea,plea,en,False,False,,n.
romant,romantic,en,False,False,,n.
grab,grab,en,False,False,,n.
card,cards,en,False,False,,n.
imagin,imagine,en,False,False,,v.
funki,funky,en,False,False,,adj.
don`t,don’t,en,False,False,,
punk,punk,en,False,False,,n.
refus,refuse,en,False,False,,v.
honest,honest,en,False,False,,adj.
motion,motion,en,False,False,,n.
turn,turn,en,False,False,,v.
place,place,en,False,False,,n.
aboard,aboard,en,False,False,,
swing,swing,en,False,False,,n.
preach,preach,en,False,False,,n.
think,think,en,False,False,,v.
first,first,en,False,False,,adv.
oper,operator,en,False,False,,n.
carri,carry,en,False,False,,v.
onc,once,en,True,True,nltk_sw,adv.
yourself,yourself,en,True,True,nltk_sw,
arriv,arrive,en,False,False,,v.
fast,fast,en,False,False,,adj.
spanish,spanish,en,False,False,,n.
vote,vote,en,False,False,,n.
ring,ring,en,False,False,,n.
dreamin,dreaming,en,False,False,,v.
open,open,en,False,False,,adj.
tomorrow,tomorrow,en,False,False,,n.
size,size,en,False,False,,n.
sheep,sheep,en,False,False,,n.
given,given,en,False,False,,v.
sheet,sheets,en,False,False,,n.
christma,christmas,en,False,False,,n.
teenag,teenage,en,False,False,,n.
caught,caught,en,False,False,,v.
breed,breed,en,False,False,,v.
plastic,plastic,en,False,False,,n.
citi,city,en,False,False,,n.
silenc,silence,en,False,False,,n.
tragic,tragic,en,False,False,,adj.
breez,breeze,en,False,False,,n.
circl,circle,en,False,False,,n.
white,white,en,False,False,,adj.
friend,friend,en,False,False,,n.
hug,hug,en,False,False,,n.
that,that,en,True,True,nltk_sw,
season,season,en,False,False,,n.
huh,huh,en,False,False,,n.
eagl,eagle,en,False,False,,n.
spinnin,spinning,en,False,False,,v.
short,short,en,False,False,,adj.
decemb,december,en,False,False,,n.
gin,gin,en,False,False,,n.
than,than,en,True,True,nltk_sw,
boyfriend,boyfriend,en,False,False,,n.
serv,serve,en,False,False,,v.
wide,wide,en,False,False,,adj.
i’ll,i’ll,en,False,False,,
jealousi,jealousy,en,False,False,,n.
gotta,gotta,en,False,False,,
remors,remorse,en,False,False,,n.
balanc,balance,en,False,False,,n.
were,were,en,True,True,nltk_sw,
and,and,en,True,True,nltk_sw,
angel,angel,en,False,False,,n.
slay,slay,en,False,False,,n.
ani,any,en,True,True,nltk_sw,
slap,slap,en,False,False,,n.
woah,woah,en,False,False,,n.
say,say,en,False,False,,v.
slam,slam,en,False,False,,n.
rent,rent,en,False,False,,n.
deliv,deliver,en,False,False,,v.
anger,anger,en,False,False,,n.
breakfast,breakfast,en,False,False,,n.
saw,saw,en,False,False,,v.
sat,sat,en,False,False,,v.
engin,engine,en,False,False,,n.
squar,square,en,False,False,,adj.
advic,advice,en,False,False,,n.
zoo,zoo,en,False,False,,n.
note,note,en,False,False,,n.
satellit,satellite,en,False,False,,n.
squad,squad,en,False,False,,n.
take,take,en,False,False,,v.
fingertip,fingertips,en,False,False,,n.
destroy,destroy,en,False,False,,v.
concern,concerned,en,False,False,,adj.
blunt,blunt,en,False,False,,n.
noth,nothing,en,False,False,,
channel,channel,en,False,False,,n.
surf,surf,en,False,False,,n.
begin,begin,en,False,False,,v.
sure,sure,en,False,False,,adj.
pain,pain,en,False,False,,n.
trace,trace,en,False,False,,n.
normal,normal,en,False,False,,adj.
track,track,en,False,False,,n.
price,price,en,False,False,,n.
knew,knew,en,False,False,,v.
paid,paid,en,False,False,,v.
butterfli,butterfly,en,False,False,,n.
champagn,champagne,en,False,False,,n.
pair,pair,en,False,False,,n.
knee,knees,en,False,False,,v.
america,america,en,False,False,,n.
bluebird,bluebird,en,False,False,,n.
lawn,lawn,en,False,False,,n.
pathet,pathetic,en,False,False,,adj.
rescu,rescue,en,False,False,,n.
egg,egg,en,False,False,,n.
later,later,en,False,False,,adv.
drive,drive,en,False,False,,n.
tooth,tooth,en,False,False,,n.
sunset,sunset,en,False,False,,n.
greed,greed,en,False,False,,n.
voodoo,voodoo,en,False,False,,n.
steadi,steady,en,False,False,,adj.
hungri,hungry,en,False,False,,adj.
shop,shop,en,False,False,,n.
shot,shot,en,False,False,,n.
show,show,en,False,False,,n.
cheat,cheat,en,False,False,,n.
need,need,en,False,False,,v.
cheap,cheap,en,False,False,,adj.
bright,bright,en,False,False,,adj.
shoe,shoes,en,False,False,,n.
corner,corner,en,False,False,,n.
takin,taking,en,False,False,,v.
ground,ground,en,False,False,,n.
aint,aint,en,False,False,,
righteous,righteous,en,False,False,,adj.
onli,only,en,True,True,nltk_sw,adv.
slow,slow,en,False,False,,adj.
unkind,unkind,en,False,False,,n.
stair,stairs,en,False,False,,n.
pen,pen,en,False,False,,n.
dick,dick,en,False,False,,n.
behind,behind,en,False,False,,
crime,crime,en,False,False,,n.
wood,wood,en,False,False,,n.
black,black,en,False,False,,adj.
stormi,stormy,en,False,False,,n.
stain,stained,en,False,False,,v.
predict,predict,en,False,False,,v.
american,american,en,False,False,,n.
stay,stay,en,False,False,,v.
get,get,en,False,False,,
mission,mission,en,False,False,,n.
cannot,cannot,en,False,False,,
georg,george,en,False,False,,n.
cryin,crying,en,False,False,,v.
stroll,stroll,en,False,False,,v.
truli,truly,en,False,False,,adv.
prime,prime,en,False,False,,adj.
reveal,reveal,en,False,False,,v.
pistol,pistol,en,False,False,,n.
pimp,pimp,en,False,False,,n.
artist,artist,en,False,False,,n.
leather,leather,en,False,False,,n.
borrow,borrow,en,False,False,,v.
tension,tension,en,False,False,,n.
priest,priest,en,False,False,,n.
dough,dough,en,False,False,,n.
where,where,en,True,True,nltk_sw,adv.
husband,husband,en,False,False,,n.
figur,figure,en,False,False,,n.
burst,burst,en,False,False,,n.
station,station,en,False,False,,n.
seat,seat,en,False,False,,n.
asleep,asleep,en,False,False,,adj.
honesti,honesty,en,False,False,,n.
seam,seams,en,False,False,,n.
sport,sport,en,False,False,,n.
wonder,wonder,en,False,False,,n.
infinit,infinite,en,False,False,,n.
appear,appear,en,False,False,,v.
televis,television,en,False,False,,n.
crystal,crystal,en,False,False,,n.
label,label,en,False,False,,n.
between,between,en,True,True,nltk_sw,
import,important,en,False,False,,adj.
yesterday,yesterday,en,False,False,,n.
across,across,en,False,False,,
fight,fight,en,False,False,,n.
parent,parents,en,False,False,,n.
screen,screen,en,False,False,,n.
obscen,obscene,en,False,False,,n.
guitar,guitar,en,False,False,,n.
cycl,cycle,en,False,False,,n.
spark,spark,en,False,False,,n.
comb,comb,en,False,False,,n.
come,come,en,False,False,,v.
blame,blame,en,False,False,,v.
superstar,superstar,en,False,False,,n.
useless,useless,en,False,False,,adj.
tuck,tuck,en,False,False,,n.
quiet,quiet,en,False,False,,n.
mani,many,en,False,False,,adj.
among,among,en,False,False,,
spoil,spoil,en,False,False,,n.
cancer,cancer,en,False,False,,n.
color,color,en,False,False,,n.
hypnot,hypnotized,en,False,False,,v.
inspir,inspiration,en,False,False,,n.
insist,insist,en,False,False,,v.
messin,messing,en,False,False,,v.
jaw,jaw,en,False,False,,n.
featur,features,en,False,False,,v.
fucker,fucker,en,False,False,,n.
constant,constant,en,False,False,,adj.
comprehend,comprehend,en,False,False,,v.
boat,boat,en,False,False,,n.
damag,damage,en,False,False,,n.
ultim,ultimate,en,False,False,,adj.
seiz,seize,en,False,False,,v.
coupl,couple,en,False,False,,n.
stretch,stretch,en,False,False,,n.
west,west,en,False,False,,n.
suicid,suicide,en,False,False,,n.
breath,breath,en,False,False,,n.
toss,toss,en,False,False,,n.
carv,carved,en,False,False,,v.
graveyard,graveyard,en,False,False,,n.
reaction,reaction,en,False,False,,n.
hurrican,hurricane,en,False,False,,n.
rubi,ruby,en,False,False,,n.
tiger,tiger,en,False,False,,n.
wake,wake,en,False,False,,v.
rememb,remember,en,False,False,,v.
instant,instant,en,False,False,,adj.
spirit,spirit,en,False,False,,n.
those,those,en,True,True,nltk_sw,
sound,sound,en,False,False,,n.
myself,myself,en,True,True,nltk_sw,
these,these,en,True,True,nltk_sw,
slumber,slumber,en,False,False,,n.
cash,cash,en,False,False,,n.
trick,trick,en,False,False,,n.
cast,cast,en,False,False,,n.
scum,scum,en,False,False,,n.
cock,cock,en,False,False,,n.
spotlight,spotlight,en,False,False,,n.
pushin,pushing,en,False,False,,v.
ive,ive,en,False,False,,
anytim,anytime,en,False,False,,adv.
seein,seeing,en,False,False,,v.
soil,soil,en,False,False,,n.
convinc,convince,en,False,False,,n.
worri,worry,en,False,False,,n.
destin,destination,en,False,False,,n.
strain,strain,en,False,False,,v.
sudden,suddenly,en,False,False,,adv.
eras,erase,en,False,False,,n.
absurd,absurd,en,False,False,,adj.
everyday,everyday,en,False,False,,n.
pay,pay,en,False,False,,v.
thinkin,thinking,en,False,False,,v.
medic,medication,en,False,False,,n.
bowl,bowl,en,False,False,,n.
tour,tour,en,False,False,,n.
same,same,en,True,True,nltk_sw,adj.
check,check,en,False,False,,n.
gentlemen,gentlemen,en,False,False,,n.
food,food,en,False,False,,n.
heartbreak,heartbreak,en,False,False,,adj.
blanket,blanket,en,False,False,,v.
motherfuckin,motherfucking,en,False,False,,v.
sucker,sucker,en,False,False,,n.
admir,admire,en,False,False,,n.
eventu,eventually,en,False,False,,adv.
pal,pal,en,False,False,,n.
pan,pan,en,False,False,,n.
week,week,en,False,False,,n.
phantom,phantom,en,False,False,,n.
oil,oil,en,False,False,,n.
see,see,en,False,False,,v.
itâ,itâs,en,False,False,,n.
driver,driver,en,False,False,,n.
someon,someone,en,False,False,,
weed,weed,en,False,False,,n.
driven,driven,en,False,False,,v.
disguis,disguise,en,False,False,,n.
defi,defy,en,False,False,,n.
weep,weep,en,False,False,,n.
handsom,handsome,en,False,False,,adj.
drain,drain,en,False,False,,n.
cherri,cherry,en,False,False,,n.
no,no,en,,True,nltk_sw,n.
nothin,nothing,en,False,False,,
justifi,justify,en,False,False,,v.
hustl,hustle,en,False,False,,n.
relief,relief,en,False,False,,n.
temptat,temptation,en,False,False,,n.
model,model,en,False,False,,n.
reward,reward,en,False,False,,n.
sinner,sinner,en,False,False,,n.
taxi,taxi,en,False,False,,n.
summer,summer,en,False,False,,n.
violenc,violence,en,False,False,,n.
execut,execution,en,False,False,,n.
neon,neon,en,False,False,,n.
rest,rest,en,False,False,,n.
violent,violent,en,False,False,,adj.
kill,kill,en,False,False,,n.
scrape,scrape,en,False,False,,n.
file,file,en,False,False,,n.
touch,touch,en,False,False,,n.
flavor,flavor,en,False,False,,n.
speed,speed,en,False,False,,n.
halfway,halfway,en,False,False,,adv.
blow,blow,en,False,False,,n.
death,death,en,False,False,,n.
rosi,rosie,en,False,False,,n.
parad,parade,en,False,False,,n.
rose,rose,en,False,False,,v.
bobbi,bobby,en,False,False,,n.
except,except,en,False,False,,
littl,little,en,False,False,,adj.
instrument,instrumental,en,False,False,,adj.
ghetto,ghetto,en,False,False,,n.
pile,pile,en,False,False,,n.
iâ,iÂ'm,en,False,False,,n.
struck,struck,en,False,False,,v.
determin,determined,en,False,False,,v.
pill,pills,en,False,False,,n.
kingdom,kingdom,en,False,False,,n.
rejoic,rejoice,en,False,False,,v.
frown,frown,en,False,False,,n.
damnat,damnation,en,False,False,,n.
ladi,lady,en,False,False,,n.
gonna,gonna,en,False,False,,
dark,dark,en,False,False,,adj.
temperatur,temperature,en,False,False,,n.
traffic,traffic,en,False,False,,n.
pop,pop,en,False,False,,n.
mom,mom,en,False,False,,n.
darl,darling,en,False,False,,v.
railroad,railroad,en,False,False,,n.
reap,reap,en,False,False,,n.
meat,meat,en,False,False,,n.
saniti,sanity,en,False,False,,n.
duti,duty,en,False,False,,n.
beggin,begging,en,False,False,,v.
stranger,stranger,en,False,False,,n.
kickin,kicking,en,False,False,,v.
twin,twin,en,False,False,,adj.
shelf,shelf,en,False,False,,n.
chamber,chamber,en,False,False,,n.
oblivion,oblivion,en,False,False,,n.
maker,maker,en,False,False,,n.
hallelujah,hallelujah,en,False,False,,n.
whatcha,whatcha,en,False,False,,n.
opportun,opportunity,en,False,False,,n.
claw,claws,en,False,False,,n.
manag,manage,en,False,False,,v.
clap,clap,en,False,False,,n.
emerg,emergency,en,False,False,,n.
fulfil,fulfill,en,False,False,,n.
wonderin,wondering,en,False,False,,v.
doll,doll,en,False,False,,n.
iâm,iâm,en,False,False,,n.
muscl,muscle,en,False,False,,n.
butt,butt,en,False,False,,n.
root,roots,en,False,False,,n.
radiat,radiation,en,False,False,,n.
buzz,buzz,en,False,False,,n.
freez,freeze,en,False,False,,n.
slice,slice,en,False,False,,n.
drank,drank,en,False,False,,v.
easili,easily,en,False,False,,adv.
noon,no-one,en,False,False,,
slick,slick,en,False,False,,n.
legal,legal,en,False,False,,adj.
moon,moon,en,False,False,,n.
‘caus,‘cause,en,False,False,,
exit,exit,en,False,False,,n.
runaway,runaway,en,False,False,,adj.
devot,devotion,en,False,False,,n.
complic,complicated,en,False,False,,v.
knife,knife,en,False,False,,n.
power,power,en,False,False,,n.
garbag,garbage,en,False,False,,n.
earn,earn,en,False,False,,v.
slaughter,slaughter,en,False,False,,n.
broken,broken,en,False,False,,adj.
throw,throw,en,False,False,,n.
on,on,en,,True,nltk_sw,
wolv,wolves,en,False,False,,n.
abus,abuse,en,False,False,,n.
of,of,en,,True,nltk_sw,
ach,aching,en,False,False,,v.
ohoh,oh-oh,en,False,False,,
greater,greater,en,False,False,,adj.
meal,meal,en,False,False,,n.
chop,chop,en,False,False,,n.
degre,degree,en,False,False,,n.
intens,intense,en,False,False,,adj.
wolf,wolf,en,False,False,,n.
stand,stand,en,False,False,,v.
neighbor,neighbors,en,False,False,,n.
roam,roam,en,False,False,,n.
luck,luck,en,False,False,,n.
or,or,en,,True,nltk_sw,
road,road,en,False,False,,n.
routin,routine,en,False,False,,n.
anybodi,anybody,en,False,False,,
press,press,en,False,False,,n.
misti,misty,en,False,False,,n.
mari,mary,en,False,False,,n.
honki,honky,en,False,False,,n.
strip,strip,en,False,False,,n.
effort,effort,en,False,False,,n.
uptown,uptown,en,False,False,,n.
nurs,nurse,en,False,False,,n.
mark,mark,en,False,False,,n.
your,your,en,True,True,nltk_sw,
restless,restless,en,False,False,,n.
scorn,scorn,en,False,False,,v.
her,her,en,True,True,nltk_sw,
gleam,gleam,en,False,False,,n.
there,there,en,True,True,nltk_sw,adv.
hey,hey,en,False,False,,
start,start,en,False,False,,v.
fascin,fascination,en,False,False,,n.
starv,starving,en,False,False,,v.
low,low,en,False,False,,adj.
lot,lot,en,False,False,,n.
lou,lou,en,False,False,,n.
valley,valley,en,False,False,,n.
gain,gain,en,False,False,,v.
bottl,bottle,en,False,False,,n.
enough,enough,en,False,False,,adj.
stupid,stupid,en,False,False,,adj.
regard,regard,en,False,False,,n.
amongst,amongst,en,False,False,,
fighter,fighter,en,False,False,,n.
with,with,en,True,True,nltk_sw,
conclus,conclusion,en,False,False,,n.
faster,faster,en,False,False,,adv.
pull,pull,en,False,False,,v.
rush,rush,en,False,False,,n.
darken,darkened,en,False,False,,v.
dirti,dirty,en,False,False,,n.
joint,joint,en,False,False,,adj.
rage,rage,en,False,False,,n.
vice,vice,en,False,False,,n.
ember,embers,en,False,False,,n.
tellin,telling,en,False,False,,v.
flirt,flirt,en,False,False,,n.
grasp,grasp,en,False,False,,n.
grass,grass,en,False,False,,n.
rust,rust,en,False,False,,n.
connect,connection,en,False,False,,n.
gone,gone,en,False,False,,v.
ohh,ohh,en,False,False,,n.
fright,fright,en,False,False,,n.
am,am,en,,True,nltk_sw,
deep,deep,en,False,False,,adj.
nerv,nerve,en,False,False,,n.
sacr,sacred,en,False,False,,adj.
aw,awful,en,False,False,,adj.
deed,deeds,en,False,False,,n.
rearrang,rearrange,en,False,False,,n.
flock,flock,en,False,False,,n.
film,film,en,False,False,,n.
fill,fill,en,False,False,,n.
abyss,abyss,en,False,False,,n.
jingl,jingle,en,False,False,,n.
idiot,idiot,en,False,False,,n.
forsak,forsake,en,False,False,,v.
repent,repent,en,False,False,,n.
rubber,rubber,en,False,False,,n.
field,fields,en,False,False,,n.
you,you,en,True,True,nltk_sw,
trash,trash,en,False,False,,v.
babylon,babylon,en,False,False,,n.
poor,poor,en,False,False,,adj.
shelter,shelter,en,False,False,,n.
symbol,symbol,en,False,False,,n.
teeth,teeth,en,False,False,,n.
drift,drifting,en,False,False,,v.
keepin,keeping,en,False,False,,v.
peak,peak,en,False,False,,n.
peac,peace,en,False,False,,n.
pool,pool,en,False,False,,n.
lipstick,lipstick,en,False,False,,n.
meadow,meadow,en,False,False,,n.
wife,wife,en,False,False,,n.
thorn,thorns,en,False,False,,n.
flyin,flying,en,False,False,,v.
mask,mask,en,False,False,,n.
moonlight,moonlight,en,False,False,,n.
pierc,pierce,en,False,False,,n.
castl,castle,en,False,False,,n.
alright,alright,en,False,False,,n.
escap,escape,en,False,False,,v.
apathi,apathy,en,False,False,,n.
togeth,together,en,False,False,,adv.
all,all,en,True,True,nltk_sw,
diss,diss,en,False,False,,n.
forget,forget,en,False,False,,v.
cough,cough,en,False,False,,n.
forbidden,forbidden,en,False,False,,v.
lack,lack,en,False,False,,n.
dollar,dollar,en,False,False,,n.
dish,dish,en,False,False,,n.
follow,follow,en,False,False,,v.
lace,lace,en,False,False,,n.
carpet,carpet,en,False,False,,n.
corps,corpse,en,False,False,,n.
to,to,en,,True,nltk_sw,
tail,tail,en,False,False,,n.
program,program,en,False,False,,n.
crimson,crimson,en,False,False,,n.
smile,smile,en,False,False,,n.
knot,knot,en,False,False,,n.
introduc,introduce,en,False,False,,v.
vers,verse,en,False,False,,n.
woman,woman,en,False,False,,n.
song,song,en,False,False,,n.
far,far,en,False,False,,adv.
horror,horror,en,False,False,,n.
fat,fat,en,False,False,,n.
we’r,we’re,en,False,False,,
hypocrit,hypocrite,en,False,False,,n.
fall,fall,en,False,False,,v.
veri,very,en,True,True,nltk_sw,adv.
ticket,ticket,en,False,False,,n.
strang,strange,en,False,False,,adj.
strand,stranded,en,False,False,,v.
trigger,trigger,en,False,False,,n.
heaven,heaven,en,False,False,,n.
harri,harry,en,False,False,,n.
list,list,en,False,False,,n.
forti,forty,en,False,False,,n.
sand,sand,en,False,False,,n.
sane,sane,en,False,False,,adj.
small,small,en,False,False,,adj.
buck,buck,en,False,False,,n.
stumbl,stumble,en,False,False,,n.
dimens,dimension,en,False,False,,n.
neighborhood,neighborhood,en,False,False,,n.
tea,tea,en,False,False,,n.
past,past,en,False,False,,n.
strung,strung,en,False,False,,v.
zero,zero,en,False,False,,n.
pressur,pressure,en,False,False,,n.
design,design,en,False,False,,n.
pass,pass,en,False,False,,n.
further,further,en,True,True,nltk_sw,adv.
ribbon,ribbons,en,False,False,,n.
belief,belief,en,False,False,,n.
excit,excited,en,False,False,,v.
what,what,en,True,True,nltk_sw,
stood,stood,en,False,False,,v.
microphon,microphone,en,False,False,,n.
clock,clock,en,False,False,,n.
sun,sun,en,False,False,,n.
sum,sum,en,False,False,,n.
abl,able,en,False,False,,adj.
crush,crush,en,False,False,,n.
public,public,en,False,False,,adj.
version,version,en,False,False,,n.
deepli,deeply,en,False,False,,adv.
method,method,en,False,False,,n.
movement,movement,en,False,False,,n.
full,full,en,False,False,,adj.
themselv,themselves,en,True,True,nltk_sw,
tragedi,tragedy,en,False,False,,n.
immort,immortal,en,False,False,,adj.
trunk,trunk,en,False,False,,n.
depend,depend,en,False,False,,v.
goodby,goodbye,en,False,False,,n.
standard,standard,en,False,False,,adj.
legend,legend,en,False,False,,n.
valu,value,en,False,False,,n.
leav,leave,en,False,False,,v.
arena,arena,en,False,False,,n.
search,searching,en,False,False,,v.
graviti,gravity,en,False,False,,n.
ahead,ahead,en,False,False,,adv.
miseri,misery,en,False,False,,n.
whine,whine,en,False,False,,n.
brutal,brutal,en,False,False,,adj.
