stem	word_m	lang_GT_API
jackson	jackson	en
stitch	stitch	en
space	space	en
profit	profit	en
dort	dort	de
astray	astray	en
flesh	flesh	en
poco	poco	es
johnni	johnny	en
fazer	fazer	pt
bli	bli	sv
olvido	olvido	es
stell	stelle	it
uncl	uncle	en
bless	blessed	en
bla	bla	no
correct	correct	en
romanc	romance	en
screw	screw	en
diseas	disease	en
monster	monster	en
glimps	glimpse	en
tienen	tienen	es
sogno	sogno	it
septemb	september	en
million	million	en
seventh	seventh	en
argu	argue	en
auch	auch	de
g	g	
cari	cari	id
california	california	en
rebel	rebel	en
plea	plea	en
romant	romantic	en
allá	allá	es
cara	cara	id
grab	grab	en
card	cards	en
care	care	ro
imagin	imagine	en
funki	funky	en
gusta	gusta	es
sabor	sabor	es
luego	luego	es
don`t	don`t	en
punk	punk	en
refus	refuse	en
honest	honest	en
motion	motion	en
turn	turn	en
può	può	it
place	place	en
aboard	aboard	en
swing	swing	en
preach	preach	en
think	think	en
first	first	en
oper	operator	en
mucha	muchas	es
carri	carry	en
onc	once	en
mitä	mitä	fi
vient	vient	fr
ond	onde	pt
yourself	yourself	en
arriv	arrive	en
fast	fast	en
spanish	spanish	en
vote	vote	en
ring	ring	en
dreamin	dreamin'	en
open	open	en
tomorrow	tomorrow	en
ont	ont	fr
size	size	en
sheep	sheep	en
given	given	en
chanson	chanson	fr
sheet	sheets	en
christma	christmas	en
teenag	teenage	en
llegar	llegar	es
caught	caught	en
breed	breed	en
plastic	plastic	en
citi	city	en
silenc	silence	en
2	2	
tragic	tragic	en
breez	breeze	en
circl	circle	en
white	white	en
las	las	es
perdida	perdida	es
friend	friend	en
altro	altro	it
suert	suerte	es
hug	hug	en
sento	sento	it
that	that	en
season	season	en
hun	hun	nl
huh	huh	en
lhe	lhe	pt
eagl	eagle	en
spinnin	spinnin'	en
short	short	en
decemb	december	en
bajo	bajo	es
gin	gin	en
x2	(x2)	en
x3	(x3)	en
than	than	en
x4	(x4)	uz
boyfriend	boyfriend	en
serv	serve	en
wide	wide	en
gehn	gehn	de
12	12	
15	15	
plein	plein	fr
i’ll	i’ll	en
16	16	
jealousi	jealousy	en
gotta	gotta	en
r	r	
remors	remorse	en
balanc	balance	en
werd	werde	de
were	were	en
geht	geht	de
futuro	futuro	es
and	and	en
sai	sais	fr
não	não	pt
pra	pra	pt
ana	ana	az
angel	angel	en
slay	slay	en
saa	saa	fi
dass	dass	de
sag	sag	da
ani	any	en
slap	slap	en
sad	sad	bs
sull	sulle	it
woah	woah	en
say	say	en
slam	slam	en
rent	rent	en
deliv	deliver	en
anger	anger	en
allen	allen	de
breakfast	breakfast	en
saw	saw	en
sogni	sogni	it
sat	sat	en
nott	notte	it
hör	hör	sv
engin	engine	en
squar	square	en
advic	advice	en
notr	notre	fr
mitt	mitt	sv
jahr	jahre	de
kan	kan	sv
weiß	weiß	de
zoo	zoo	en
note	note	en
soñar	soñar	es
satellit	satellite	en
squad	squad	en
loca	loca	es
take	take	en
deux	deux	fr
fingertip	fingertips	en
destroy	destroy	en
concern	concerned	en
blunt	blunt	en
noth	nothing	en
channel	channel	en
surf	surf	en
miei	miei	it
begin	begin	en
sure	sure	en
pain	pain	en
trace	trace	en
normal	normal	en
track	track	en
ust	usted	es
price	price	en
knew	knew	en
wird	wird	de
paid	paid	en
butterfli	butterfly	en
champagn	champagne	en
cualquier	cualquier	es
pair	pair	en
knee	knees	en
america	america	en
bluebird	bluebird	en
på	på	
anch	anche	it
lawn	lawn	en
pathet	pathetic	en
rescu	rescue	en
angst	angst	de
egg	egg	en
alguna	alguna	es
later	later	en
drive	drive	en
tooth	tooth	en
sunset	sunset	en
greed	greed	en
axe	axe	fr
voodoo	voodoo	en
steadi	steady	en
hungri	hungry	en
shop	shop	en
perch	perche'	it
troi	trois	fr
shot	shot	en
show	show	en
cheat	cheat	en
need	need	en
olho	olhos	pt
cheap	cheap	en
estoy	estoy	es
bright	bright	en
shoe	shoes	en
corner	corner	en
trop	trop	fr
takin	takin'	en
estou	estou	pt
inn	inn	no
ground	ground	en
aint	aint	en
righteous	righteous	en
onli	only	en
slow	slow	en
unkind	unkind	en
stair	stairs	en
lua	lua	ro
dich	dich	de
pen	pen	en
himmel	himmel	de
dick	dick	en
joka	joka	fi
behind	behind	en
crime	crime	en
joli	jolie	fr
lumièr	lumière	fr
wood	wood	en
black	black	en
aina	aina	fi
stormi	stormy	en
när	när	sv
stain	stained	en
deseo	deseo	es
vuela	vuela	es
predict	predict	en
american	american	en
stay	stay	en
get	get	en
ventana	ventana	es
toca	toca	es
mission	mission	en
cannot	cannot	en
georg	george	en
gee	gee	af
lui	lui	ro
cryin	cryin'	en
geh	geh	de
gen	gens	fr
stroll	stroll	en
truli	truly	en
prime	prime	en
reveal	reveal	en
pistol	pistol	en
prima	prima	it
pimp	pimp	en
artist	artist	en
leather	leather	en
schwer	schwer	de
borrow	borrow	en
tension	tension	en
priest	priest	en
leur	leur	fr
sehn	sehn	de
silencio	silencio	es
dough	dough	en
where	where	en
husband	husband	en
figur	figure	en
dice	dice	es
burst	burst	en
station	station	en
conscienc	conscience	fr
seat	seat	en
asleep	asleep	en
honesti	honesty	en
seam	seams	en
contar	contar	es
sport	sport	en
sait	sait	fr
wonder	wonder	en
infinit	infinite	en
appear	appear	en
televis	television	en
crystal	crystal	en
label	label	en
cd	cd	
3	3	
estar	estar	es
between	between	en
llorar	llorar	es
import	important	en
yesterday	yesterday	en
ormai	ormai	it
across	across	en
fight	fight	en
vie	vie	fr
parent	parents	en
dinero	dinero	es
screen	screen	en
tus	tus	es
tut	tut	de
obscen	obscene	en
punto	punto	it
guitar	guitar	en
cycl	cycle	en
jo	jo	
comm	comme	fr
como	como	es
tuo	tuo	it
je	je	
spark	spark	en
comb	comb	en
come	come	en
tue	tue	it
vrai	vrai	fr
blame	blame	en
mond	monde	fr
superstar	superstar	en
canta	canta	es
useless	useless	en
tuck	tuck	en
quier	quieres	es
quiet	quiet	en
empezar	empezar	es
s	s	
tous	tous	fr
tout	tout	fr
aura	aura	fr
igen	igen	sv
quien	quien	es
mani	many	en
canción	canción	es
mann	mann	de
mano	mano	lt
among	among	en
você	você	pt
spoil	spoil	en
cancer	cancer	en
distancia	distancia	es
color	color	en
hypnot	hypnotized	en
pot	pot	ro
inspir	inspiration	en
cuando	cuando	es
insist	insist	en
messin	messin'	en
pon	pon	bg
jaw	jaw	en
pole	pole	et
featur	features	en
besoin	besoin	fr
poi	poi	it
fucker	fucker	en
constant	constant	en
comprehend	comprehend	en
boat	boat	en
damag	damage	en
mare	mare	ro
ultim	ultimate	en
seiz	seize	en
sest	s'est	fr
coupl	couple	en
stretch	stretch	en
west	west	en
oder	oder	de
suicid	suicide	en
ja	ja	
breath	breath	en
toss	toss	en
pourtant	pourtant	fr
qué	qué	es
venir	venir	fr
carv	carved	en
buscar	buscar	es
graveyard	graveyard	en
reaction	reaction	en
hurrican	hurricane	en
thousand	thousand	tl
valor	valor	pt
rubi	ruby	en
lamour	l'amour	fr
ceux	ceux	fr
tiger	tiger	en
wake	wake	en
rememb	remember	en
instant	instant	en
amant	amante	es
spirit	spirit	en
those	those	en
sound	sound	en
myself	myself	en
casa	casa	es
these	these	en
slumber	slumber	en
caso	caso	es
pobr	pobre	es
casi	casi	es
cash	cash	en
cree	crees	es
trick	trick	en
cast	cast	en
céu	céu	pt
scum	scum	en
vaikka	vaikka	fi
fim	fim	pt
cock	cock	en
spotlight	spotlight	en
buen	buen	es
pushin	pushin'	en
ive	ive	en
anytim	anytime	en
conmigo	conmigo	es
seein	seein'	en
muerto	muerto	es
soil	soil	en
convinc	convince	en
worri	worry	en
destin	destination	en
strain	strain	en
sudden	suddenly	en
eras	erase	en
soir	soir	fr
absurd	absurd	en
everyday	everyday	en
viento	viento	es
par	par	fr
pas	pas	fr
medio	medio	es
pay	pay	en
thinkin	thinkin'	en
medic	medication	en
bowl	bowl	en
tour	tour	en
same	same	en
check	check	en
gentlemen	gentlemen	en
food	food	en
extraño	extraño	es
heartbreak	heartbreak	en
blanket	blanket	en
motherfuckin	motherfuckin'	en
hecho	hecho	es
sucker	sucker	en
admir	admire	en
eventu	eventually	en
pal	pal	en
pan	pan	en
week	week	en
phantom	phantom	en
för	för	sv
oil	oil	en
kuinka	kuinka	fi
see	see	en
ni	ni	
sotto	sotto	it
itâ	itâs	en
nest	n'est	fr
driver	driver	en
someon	someone	en
weed	weed	en
driven	driven	en
dabei	dabei	de
disguis	disguise	en
weer	weer	nl
defi	defy	en
weep	weep	en
tenho	tenho	pt
handsom	handsome	en
drain	drain	en
cherri	cherry	en
no	no	
nothin	nothin'	en
justifi	justify	en
hustl	hustle	en
lento	lento	es
machen	machen	de
relief	relief	en
temptat	temptation	en
conoc	conoce	es
ces	ces	fr
model	model	en
reward	reward	en
sinner	sinner	en
taxi	taxi	en
summer	summer	en
violenc	violence	en
execut	execution	en
vamo	vamos	es
visto	visto	it
neon	neon	en
rest	rest	en
violent	violent	en
quién	quién	es
kill	kill	en
scrape	scrape	en
file	file	en
touch	touch	en
flavor	flavor	en
habrá	habrá	es
speed	speed	en
halfway	halfway	en
blow	blow	en
quella	quella	it
death	death	en
rosi	rosie	en
parad	parade	en
rose	rose	en
llanto	llanto	es
bobbi	bobby	en
quello	quello	it
except	except	en
littl	little	en
odio	odio	la
instrument	instrumental	en
ghetto	ghetto	en
pile	pile	en
4	4	
iâ	iÂ'm	en
verso	verso	it
wär	wär	de
struck	struck	en
llorando	llorando	es
determin	determined	en
pill	pills	en
kingdom	kingdom	en
ditt	ditt	sv
mucho	mucho	es
rejoic	rejoice	en
frown	frown	en
amo	amo	pt
damnat	damnation	en
ama	ama	tr
por	por	es
lado	lado	es
ladi	lady	en
gonna	gonna	en
dart	darte	es
dark	dark	en
moi	moi	fr
temperatur	temperature	en
traffic	traffic	en
pop	pop	en
mom	mom	en
darl	darling	en
libr	libre	es
railroad	railroad	en
leva	leva	pt
reap	reap	en
dare	dare	it
meat	meat	en
saniti	sanity	en
duti	duty	en
beggin	beggin'	en
stranger	stranger	en
wel	wel	nl
kickin	kickin'	en
twin	twin	en
shelf	shelf	en
nu	nu	
chamber	chamber	en
oblivion	oblivion	en
maker	maker	en
t	t	
hallelujah	hallelujah	en
whatcha	whatcha	en
opportun	opportunity	en
claw	claws	en
morena	morena	pt
manag	manage	en
clap	clap	en
emerg	emergency	en
fulfil	fulfill	en
wonderin	wonderin'	en
doll	doll	en
soy	soy	es
iâm	iâm	en
muscl	muscle	en
butt	butt	en
nombr	nombre	es
naar	naar	nl
root	roots	en
radiat	radiation	en
buzz	buzz	en
freez	freeze	en
besser	besser	de
slice	slice	en
lotta	lotta	it
drank	drank	en
easili	easily	en
noon	no-one	en
hoje	hoje	pt
slick	slick	en
legal	legal	en
moon	moon	en
meiner	meiner	de
‘caus	‘cause	en
teardrop	teardrops	da
exit	exit	en
runaway	runaway	en
är	är	
devot	devotion	en
complic	complicated	en
knife	knife	en
power	power	en
raus	raus	de
dicen	dicen	es
garbag	garbage	en
sido	sido	es
earn	earn	en
slaughter	slaughter	en
quem	quem	pt
broken	broken	en
habe	habe	de
nós	nós	pt
throw	throw	en
nosotro	nosotros	es
oo	oo	
on	on	
om	om	
ol	ol'	tr
wolv	wolves	en
abus	abuse	en
oi	oi	
oh	oh	
og	og	
of	of	
ach	aching	en
ohoh	oh-oh	en
ob	ob	
greater	greater	en
meal	meal	en
chop	chop	en
degre	degree	en
intens	intense	en
wolf	wolf	en
stand	stand	en
neighbor	neighbors	en
roam	roam	en
ow	ow	
ou	ou	
luck	luck	en
os	os	
or	or	
road	road	en
op	op	
routin	routine	en
anybodi	anybody	en
esser	essere	it
press	press	en
misti	misty	en
mari	mary	en
honki	honky	en
amiga	amiga	pt
strip	strip	en
effort	effort	en
uptown	uptown	en
nurs	nurse	en
mark	mark	en
your	your	en
restless	restless	en
het	het	nl
scorn	scorn	en
nein	nein	de
her	her	en
gleam	gleam	en
saudad	saudade	pt
there	there	en
lon	l'on	tr
hey	hey	en
start	start	en
fascin	fascination	en
starv	starving	en
low	low	en
lot	lot	en
lou	lou	en
hem	hem	nl
valley	valley	en
escapar	escapar	gl
yah	yah	id
gain	gain	en
lang	lang	tl
bottl	bottle	en
dormir	dormir	es
enough	enough	en
stupid	stupid	en
regard	regard	en
amongst	amongst	en
soledad	soledad	es
gibt	gibt	de
gore	gore	bs
dolor	dolor	la
fighter	fighter	en
with	with	en
conclus	conclusion	en
faster	faster	en
pull	pull	en
rush	rush	en
darken	darkened	en
dirti	dirty	en
joint	joint	en
rage	rage	en
vice	vice	en
ember	embers	en
tellin	tellin'	en
flirt	flirt	en
agora	agora	pt
grasp	grasp	en
grass	grass	en
rust	rust	en
connect	connection	en
gone	gone	en
ohn	ohne	de
ab	ab	
ohh	ohh	en
ad	ad	
fright	fright	en
ai	ai	
ah	ah	
am	am	
al	al	
deep	deep	en
nerv	nerve	en
sacr	sacred	en
tengo	tengo	es
intro	intro:	en
au	au	
uit	uit	nl
aw	awful	en
av	av	
ay	ay	
deed	deeds	en
az	az	
rearrang	rearrange	en
flock	flock	en
film	film	en
fill	fill	en
abyss	abyss	en
jingl	jingle	en
coração	coração	pt
idiot	idiot	en
forsak	forsake	en
repent	repent	en
rubber	rubber	en
field	fields	en
5	5	
vad	vad	sv
you	you	en
trash	trash	en
babylon	babylon	en
10	10	
poor	poor	en
shelter	shelter	en
domani	domani	it
symbol	symbol	en
teeth	teeth	en
drift	drifting	en
m	m	
terra	terra	it
keepin	keepin'	en
peak	peak	en
mentira	mentira	es
sulla	sulla	it
lair	l'air	fr
peac	peace	en
pool	pool	en
lipstick	lipstick	en
meadow	meadow	en
wife	wife	en
thorn	thorns	en
flyin	flyin'	en
mask	mask	en
mash	mash	ar
moonlight	moonlight	en
mentr	mentre	it
u	u	
pierc	pierce	en
castl	castle	en
alright	alright	en
escap	escape	en
apathi	apathy	en
togeth	together	en
all	all	en
diss	diss	en
liar	liar	id
forget	forget	en
cough	cough	en
ali	ali	sl
forbidden	forbidden	en
lack	lack	en
dollar	dollar	en
correr	correr	es
fuego	fuego	es
ciudad	ciudad	es
dish	dish	en
follow	follow	en
sueño	sueño	es
lace	lace	en
sung	sung	vi
carpet	carpet	en
habla	habla	es
corps	corpse	en
ty	ty	
imma	imma	mt
tu	tu	
dieser	dieser	de
to	to	
tail	tail	en
program	program	en
ti	ti	
crimson	crimson	en
smile	smile	en
kvar	kvar	sv
te	te	
knot	knot	en
oss	oss	no
introduc	introduce	en
ta	ta	
faz	faz	pt
ninguém	ninguém	pt
vers	verse	en
woman	woman	en
estaba	estaba	es
vert	verte	fr
song	song	en
far	far	en
horror	horror	en
fat	fat	en
sono	sono	it
vera	veras	es
we’r	we’re	en
hypocrit	hypocrite	en
fai	fais	fr
einmal	einmal	de
verd	verde	it
fall	fall	en
veri	very	en
ayer	ayer	es
ticket	ticket	en
strang	strange	en
strand	stranded	en
trigger	trigger	en
gott	gott	sv
pueblo	pueblo	es
heaven	heaven	en
alma	alma	es
harri	harry	en
list	list	en
fatto	fatto	it
forti	forty	en
nossa	nossa	pt
sang	sang	vi
sand	sand	en
sane	sane	en
small	small	en
lisa	lisa	et
buck	buck	en
stumbl	stumble	en
ora	ora	it
quun	qu'un	fr
dimens	dimension	en
neighborhood	neighborhood	en
tem	tem	pt
ten	ten	pl
haar	haar	nl
tea	tea	en
volar	volar	es
paso	paso	es
vete	vete	sq
past	past	en
strung	strung	en
zero	zero	en
pressur	pressure	en
design	design	en
pass	pass	en
further	further	en
ter	ter	pt
tes	tes	fr
mill	mille	et
ribbon	ribbons	en
belief	belief	en
excit	excited	en
what	what	en
stood	stood	en
microphon	microphone	en
clock	clock	en
nana	nana	ja
sun	sun	en
sum	sum	en
sul	sul	it
abl	able	en
quelqu	quelques	fr
sui	suis	fr
fleur	fleurs	fr
crush	crush	en
public	public	en
abr	abre	pt
version	version	en
sus	sus	es
sur	sur	fr
deepli	deeply	en
ang	ang	tl
method	method	en
jede	jede	de
movement	movement	en
full	full	en
themselv	themselves	en
nena	nena	es
tragedi	tragedy	en
vale	vale	pt
kimi	kimi	az
heb	heb	nl
aquello	aquellos	es
immort	immortal	en
trunk	trunk	en
hast	hast	de
depend	depend	en
goodby	goodbye	en
standard	standard	en
legend	legend	en
valu	value	en
leav	leave	en
arena	arena	en
search	searching	en
graviti	gravity	en
ahead	ahead	en
miseri	misery	en
whine	whine	en
brutal	brutal	en
premier	premier	fr
soldier	soldier	en
base	base	en
près	près	fr
durch	durch	de
pick	pick	en
action	action	en
narrow	narrow	en
medicin	medicine	en
via	via	en
depart	departed	en
declin	decline	en
vez	vez	es
hogi	hogy	hu
africa	africa	en
vil	vil	da
él	él	
és	és	
ask	ask	en
voyag	voyage	fr
send	send	en
famili	family	en
demis	demise	en
asi	asi	cs
tutto	tutto	it
eye	eyes	en
tutti	tutti	it
liber	liberate	en
faint	faint	en
two	two	en
mort	mort	fr
pearl	pearls	en
morn	morning	en
6	6	
taken	taken	en
fr	fr	
minor	minor	en
more	more	en
teen	teen	en
tryna	tryna	en
flaw	flaws	en
diamond	diamond	en
door	door	nl
alltid	alltid	sv
mire	mire	hu
hundr	hundred	en
hurri	hurry	en
mira	mira	es
askin	askin'	tr
terror	terror	en
flag	flag	en
stick	stick	en
broke	broke	en
aris	arise	en
known	known	en
compani	company	en
doom	doom	en
komm	komm	de
estribillo	estribillo	es
glad	glad	en
don’t	don’t	en
town	town	en
mí	mí	
none	none	en
thread	thread	en
eden	eden	tr
hous	house	en
ça	ça	
der	der	de
des	des	fr
det	det	sv
dew	dew	en
dei	dei	it
remain	remain	en
del	del	es
dem	dem	de
den	den	de
learn	learn	en
abandon	abandoned	en
male	male	en
dee	dee	ar
enfant	enfants	fr
mala	mala	es
explod	explode	en
orlean	orleans	en
shark	shark	en
bam	bam	en
wieder	wieder	de
rua	rua	pt
brown	brown	en
challeng	challenge	en
share	share	en
accept	accept	en
autumn	autumn	en
fiddl	fiddle	en
azul	azul	es
poni	pony	en
wet	wet	en
explor	explore	en
explos	explosion	en
pone	pone	es
sharp	sharp	en
scar	scars	en
dress	dress	en
condemn	condemned	en
toni	tony	en
siren	sirens	en
cours	course	en
court	court	en
untru	untrue	en
divid	divide	en
rather	rather	en
anoth	another	en
comfort	comfort	en
breast	breast	en
divin	divine	en
voltar	voltar	pt
fame	fame	en
musica	musica	it
cling	cling	en
calma	calma	es
vorbei	vorbei	de
oye	oye	es
strong	strong	en
simpl	simple	en
needl	needle	en
unabl	unable	en
plant	plant	en
okay	okay	en
eterno	eterno	pt
rude	rude	en
whirl	whirl	en
our	our	en
blacken	blackened	en
sneak	sneak	en
reflect	reflection	en
fa	fa	
plane	plane	en
embrac	embrace	en
fe	fe	
numb	numb	en
quisiera	quisiera	es
fi	fi	
maar	maar	nl
bloom	bloom	en
sehen	sehen	de
fo	fo	
a	a	
planet	planet	en
circumst	circumstance	en
twelv	twelve	en
kein	kein	de
read	read	en
coat	coat	en
doctor	doctor	en
children	children	en
combin	combination	en
dragon	dragon	en
caus	'cause	en
coal	coal	en
shore	shore	en
ego	ego	en
dread	dread	en
shade	shade	en
media	media	en
aller	aller	fr
minuto	minuto	es
dream	dream	en
paz	paz	es
herida	herida	es
ding	ding	nl
help	help	en
pant	pants	en
somo	somos	es
soon	soon	en
trade	trade	en
held	held	en
paper	paper	en
through	through	en
sere	sere	it
pane	pane	it
hell	hell	en
perhap	perhaps	en
suffer	suffer	en
realiz	realize	en
24	24	
style	style	en
meinen	meinen	de
pens	pense	fr
glide	glide	en
sopra	sopra	it
late	late	en
grade	grade	en
allt	allt	sv
lucif	lucifer	en
pena	pena	pt
lontano	lontano	it
speech	speech	en
bout	'bout	fr
team	team	en
might	might	en
alter	alter	de
suppli	supply	en
yi	yi	
ant	antes	es
good	good	en
return	return	en
yo	yo	
ya	ya	
mientra	mientras	es
pollut	pollution	en
ye	ye	
uhh	uhh	en
miedo	miedo	es
ficar	ficar	pt
somebodi	somebody	en
laiss	laisse	fr
dedo	dedos	es
farewel	farewell	en
foot	foot	en
disgrac	disgrace	en
musiqu	musique	fr
adventur	adventure	en
complain	complain	en
bigger	bigger	en
virtu	virtue	en
tuoi	tuoi	it
fairi	fairy	en
2x	(2x)	sv
donc	donc	fr
vara	vara	sv
porta	porta	it
mysteri	mystery	en
did	did	en
achiev	achieve	en
naughti	naughty	en
eager	eager	en
teas	tease	en
ceas	cease	en
found	found	en
friendship	friendship	en
breakdown	breakdown	en
harm	harm	en
shock	shock	en
england	england	en
mental	mental	en
weight	weight	en
meaningless	meaningless	en
colder	colder	en
fish	fish	en
hard	hard	en
idea	idea	en
terrifi	terrified	en
realli	really	en
heavi	heavy	en
sober	sober	en
toda	toda	es
finish	finish	en
expect	expect	en
fist	fist	en
aldrig	aldrig	da
into	into	en
energi	energy	en
beyond	beyond	en
todo	todo	es
nosso	nosso	pt
flower	flowers	en
safeti	safety	en
alcohol	alcohol	en
suprem	supreme	en
glitter	glitter	en
dónde	dónde	es
princ	prince	en
bubbl	bubble	en
si	si	
health	health	en
hill	hill	en
7	7	
print	print	en
tí	tí	
san	sans	fr
highway	highway	en
ass	ass	en
pum	pum	cy
bald	bald	de
bass	bass	en
dirt	dirt	en
pue	pues	es
friday	friday	en
guess	guess	en
dune	d'une	fr
ness	ness	en
mmm	mmm	en
dit	dit	nl
reason	reason	en
heroin	heroin	en
será	será	pt
believ	believe	en
dire	dire	fr
put	put	en
teach	teach	en
ash	ashes	en
pasado	pasado	es
sidewalk	sidewalk	en
thrown	thrown	en
alt	alt	da
legion	legions	en
prophet	prophet	en
fearless	fearless	en
so	so	
voor	voor	nl
struggl	struggle	en
sicken	sickening	en
deje	dejes	es
wither	withered	en
cloudi	cloudy	en
w	w	
dejo	dejo	es
heartbeat	heartbeat	en
lifetim	lifetime	en
fallen	fallen	en
virgin	virgin	en
feed	feed	en
sympathi	sympathy	en
major	major	en
bonito	bonito	pt
dont	dont	fr
hopin	hopin'	sq
wilder	wilderness	en
feel	feel	en
nach	nach	de
number	number	en
evolut	evolution	en
feet	feet	en
cada	cada	es
sailor	sailor	en
done	done	en
dond	donde	es
dong	dong	vi
blank	blank	en
guard	guard	en
mist	mist	en
miss	miss	en
fanci	fancy	en
donn	donne	it
passer	passer	fr
razor	razor	en
differ	different	en
killin	killin'	en
kom	kom	sv
guest	guest	en
jet	jet	en
nome	nome	pt
blossom	blossom	en
avec	avec	fr
mont	monte	it
least	least	en
collar	collar	en
player	player	en
contra	contra	es
stori	story	en
robe	robe	fr
jeg	jeg	no
storm	storm	en
ze	ze	
mama	mama	zh-CN
master	master	en
scheme	scheme	en
jen	j'en	fr
banana	banana	en
store	store	en
pare	pare	ro
parc	parce	fr
saint	saint	en
para	para	es
pump	pump	en
month	months	en
hotel	hotel	en
park	park	en
música	música	pt
asshol	asshole	en
za	za	
mmmm	mmmm	en
då	då	
corpo	corpo	pt
part	part	en
prend	prends	fr
twenti	twenty	en
schon	schon	de
grace	grace	en
reliev	relieve	en
king	king	en
kind	kind	en
b	b	
sta	sta	it
whenev	whenever	en
perfum	perfume	en
remov	remove	en
sto	sto	bs
dans	danse	fr
aah	aah	ar
vocal	vocal	en
horizont	horizonte	pt
youth	youth	en
bride	bride	en
asham	ashamed	en
stalk	stalking	en
esquina	esquina	es
pienso	pienso	es
ô	ô	
danc	dance	en
weapon	weapon	en
contr	contre	fr
outta	outta	en
atmospher	atmosphere	en
belli	belly	en
croi	crois	fr
aussi	aussi	fr
queria	queria	pt
complet	complete	en
blond	blonde	en
dedic	dedicated	en
steht	steht	de
piensa	piensa	es
sell	sell	en
lie	lies	en
advanc	advance	en
jour	jour	fr
built	built	en
dude	dude	en
blanco	blanco	es
lil	lil'	en
blanca	blanca	es
self	self	en
euch	euch	de
couch	couch	en
lit	lit	fr
also	also	en
liv	liv	sv
without	without	en
pasar	pasar	id
build	build	en
command	command	en
waitin	waitin'	en
play	play	en
parl	parle	fr
sleepin	sleepin'	en
tuve	tuve	es
kad	kad	lt
victim	victim	en
english	english	en
reach	reach	en
chart	charts	en
essa	essa	pt
perro	perro	es
virus	virus	en
3x	(3x)	ar
charm	charm	en
pari	paris	fr
diferent	diferente	pt
suitcas	suitcase	en
glück	glück	de
charg	charge	en
amaz	amazing	en
ka	ka	
ke	ke	
minha	minha	pt
unspoken	unspoken	en
clear	clear	en
minä	minä	fi
destruct	destruction	en
clean	clean	en
repli	reply	en
weigh	weigh	en
barrel	barrel	en
i`m	i`m	en
nube	nubes	es
gleich	gleich	de
nessuno	nessuno	it
gold	gold	en
tener	tener	es
melodi	melody	en
flicker	flicker	en
croir	croire	fr
gefühl	gefühl	de
golp	golpe	es
há	há	
quedan	quedan	es
fino	fino	it
finn	finns	sv
ojo	ojos	es
font	font	fr
fine	fine	en
find	find	en
paus	pause	en
giant	giant	en
sayin	sayin'	en
pretti	pretty	en
sentenc	sentence	en
nervous	nervous	en
bonheur	bonheur	fr
writer	writer	en
solut	solution	en
quel	quel	it
vision	vision	en
piedra	piedra	es
beat	beat	en
jazz	jazz	en
quer	quer	pt
traum	traum	de
betray	betrayed	en
money	money	en
8	8	
unhappi	unhappy	en
gå	gå	
hip	hip	en
shepherd	shepherds	en
remedi	remedy	en
his	his	en
hit	hit	en
mein	mein	de
bend	bend	en
express	express	en
estrella	estrellas	es
famous	famous	en
grew	grew	en
hid	hid	en
stir	stir	en
compass	compassion	en
jetzt	jetzt	de
jsui	j'suis	fr
hij	hij	nl
silk	silk	en
sunni	sunny	en
him	him	en
hin	hin	de
merci	mercy	en
appeal	appeal	en
timeless	timeless	en
foto	foto	id
proclaim	proclaim	en
enemi	enemy	en
booz	booze	en
geld	geld	de
common	common	en
gotten	gotten	en
verdad	verdad	es
nowher	nowhere	en
hon	hon	sv
sew	sew	en
seventeen	seventeen	en
set	set	en
art	art	en
ser	ser	pt
delus	delusion	en
creator	creator	en
overwhelm	overwhelmed	en
jade	jaded	en
vine	vine	ro
around	around	en
grey	grey	en
bara	bara	sv
idol	idol	en
lion	lion	en
sed	sed	la
dumb	dumb	en
are	are	en
sea	sea	en
tender	tender	en
close	close	en
laat	laat	nl
aunqu	aunque	es
arm	arms	en
sei	sei	de
seh	seh	de
seal	seal	en
project	projects	en
movin	movin'	en
spiritu	spiritual	en
fuist	fuiste	es
dann	dann	de
someth	something	en
wail	wail	en
guitarra	guitarra	es
case	case	en
woo	woo	en
won	won	en
woh	woh	en
lei	lei	ro
woe	woe	en
guilt	guilt	en
hold	hold	en
experi	experience	en
dein	dein	de
kneel	kneel	en
piss	piss	en
concentr	concentrate	en
soll	soll	de
makeup	makeup	en
shinin	shinin'	ja
iron	iron	en
goddamn	goddamn	en
barrio	barrio	es
sold	sold	en
sole	sole	en
isol	isolation	en
sola	sola	es
spray	spray	en
samba	samba	pt
arrang	arranged	en
ikk	ikke	no
jeder	jeder	de
cristal	cristal	es
purpl	purple	en
tres	tres	es
että	että	fi
sufrir	sufrir	es
both	both	en
c	c	
toward	towards	en
last	last	en
thou	thou	en
breakin	breakin'	en
alon	alone	en
troppo	troppo	it
foreign	foreign	en
alor	alors	fr
razón	razón	es
secreto	secreto	es
forgotten	forgotten	en
¿qué	¿qué	es
bond	bond	en
afar	afar	is
blaze	blaze	en
load	load	en
gypsi	gypsy	en
childhood	childhood	en
simpli	simply	en
reject	reject	en
point	point	en
olla	olla	fi
sweet	sweet	en
sweep	sweep	en
rosa	rosa	it
dancer	dancer	en
majesti	majesty	en
church	church	en
rave	rave	en
mistak	mistake	en
pensamiento	pensamiento	es
bridg	bridge	en
deceiv	deceive	en
belt	belt	en
sonrisa	sonrisa	es
worthless	worthless	en
devil	devil	en
filth	filth	en
dum	dum	eo
